Id;Lang;Code;Definition;CreateDate;IsDeleted;UpdateDate;GUID;CreateUserId;UpdateUserId
1;tr;common_languages;Diller;2019-08-07 17:38:02.747;0;NULL;e84509ad-3454-4db7-9660-ce4ce158abe3;-1;-1
2;tr;search_departure;Nereden;2019-08-07 17:38:02.747;0;2024-05-22 12:05:56.780;71b7e0ee-809e-43fb-9f09-8df14282cb49;-1;8e78aa62-5132-4e2f-9a18-eb3eaa9902a1
3;tr;search_arrival;Nereye;2019-08-07 17:38:02.747;0;2024-05-22 12:05:56.777;24d14f86-2365-40fb-9251-3a8a901543c4;-1;8e78aa62-5132-4e2f-9a18-eb3eaa9902a1
4;tr;search_departuredate;Gidiş Tarihi;2019-08-07 17:38:02.747;0;2020-07-01 16:55:02.667;ad34c79e-15a0-46ce-8db9-673d930a94b8;-1;935a8f01-b666-4a24-83cb-2df1a0d9f049
5;tr;search_arrivaldate;Dönüş Tarihi;2019-08-07 17:38:02.747;0;NULL;e5a73558-f23b-48d5-8825-411592c5abfa;-1;-1
6;tr;search_travellers;Yolcular;2019-08-07 17:38:02.747;0;2020-02-09 20:23:49.533;31c514b0-9b21-4a63-92ee-2c795a15daac;-1;8e78aa62-5132-4e2f-9a18-eb3eaa9902a1
7;tr;search_flight_button;Uçuş Ara;2019-08-07 17:38:02.747;0;2020-01-24 09:13:16.907;309aac56-1852-44ec-ac7e-c65cc709812f;-1;8e78aa62-5132-4e2f-9a18-eb3eaa9902a1
8;tr;search_adult;Yetişkin;2019-08-07 17:38:02.747;0;2024-05-22 12:05:56.777;c4d4f3fd-366a-4d06-81e4-7e72e2de8ae8;-1;-1
9;tr;search_child;Çocuk;2019-08-07 17:38:02.747;0;2024-05-22 12:05:56.780;bbe96fe4-2cb0-46f4-b361-7e1ad335d5ec;-1;-1
10;tr;search_baby;Bebek;2019-08-07 17:38:02.747;0;2024-05-22 12:05:56.777;e4daafd7-c0c6-4218-af25-24437e5934db;-1;-1
11;tr;search_directflight;Sadece Direkt Uçuşlar;2019-08-07 17:38:02.747;0;2024-05-22 12:05:56.780;ba81ff48-0ee1-485e-8682-0f14d239ab89;-1;8e78aa62-5132-4e2f-9a18-eb3eaa9902a1
12;tr;search_oneway;Tek Yön;2019-08-07 17:38:02.747;0;2024-05-22 12:05:56.783;7e8ae691-8e92-4b77-a587-5a5c5c5f25e3;-1;-1
13;tr;search_circle;Gidiş-Dönüş;2019-08-07 17:38:02.747;0;2024-05-22 12:05:56.780;f20c9d12-a4b6-4fd8-91e3-b919aacad5c2;-1;8e78aa62-5132-4e2f-9a18-eb3eaa9902a1
14;tr;search_ADT;Yetişkin;2019-08-07 17:38:02.747;0;2024-05-22 12:05:56.777;2d1ee838-dceb-4550-828d-bc125772fda6;-1;-1
15;tr;search_CNN;Çocuk;2019-08-07 17:38:02.747;0;2024-05-22 12:05:56.780;45240566-8902-491f-8005-cbef72d4ee44;-1;-1
16;tr;search_INF;Bebek;2019-08-07 17:38:02.747;0;2024-05-22 12:05:56.780;cbb76cc3-7bde-40b7-891d-8eaec2ebdc23;-1;-1
17;tr;search_selectairport;Havalimanı Seç;2019-08-07 17:38:02.747;0;2021-01-04 16:09:27.507;efe3f0b2-a559-48fb-be0a-29ca9e085830;-1;935a8f01-b666-4a24-83cb-2df1a0d9f049
18;tr;search_multi;Dönüş Farklı Şehir;2019-08-07 17:38:02.747;0;2024-05-22 12:05:56.780;e3a175ad-4532-4d4d-9264-39fd4d82051f;-1;14559dca-02b0-4708-8849-78ec823fbcc6
19;tr;header_most;En Son Arananlar;2019-08-07 17:38:02.747;0;NULL;2e8d08b4-43d7-4992-a09f-9a53f010283d;-1;-1
20;tr;header_needhelp;Yardım?;2019-08-07 17:38:02.747;0;2021-01-04 13:45:28.727;298ee7cc-896a-4bed-887d-66e9671ef3ac;-1;935a8f01-b666-4a24-83cb-2df1a0d9f049
21;tr;header_log_in_or_sign_up;Giriş Yap;2019-08-07 17:38:02.747;0;2024-05-22 12:05:56.747;dcd3d1c3-4af0-4503-85ab-aa0139aa67aa;-1;935a8f01-b666-4a24-83cb-2df1a0d9f049
22;tr;header_log_in_fast_or_sign_up;Üyeliğin var mı?;2019-08-07 17:38:02.747;0;2024-05-22 12:05:56.743;37dc4b6f-c3f3-4d5f-a3c3-b3119125204b;-1;935a8f01-b666-4a24-83cb-2df1a0d9f049
23;tr;header_select_language;Diller;2019-08-07 17:38:02.747;0;NULL;89ab71c9-8ca0-41ff-84a7-f4b422026bc5;-1;-1
24;tr;header_menu_flight;Uçuş;2019-08-07 17:38:02.747;0;2024-05-22 12:05:56.747;616a813d-b681-4569-ab98-25d3acd20c67;-1;-1
25;tr;header_menu_hotels;Otel;2019-08-07 17:38:02.747;0;2024-05-22 12:05:56.747;c93e4bb0-bdbb-4dfa-b788-11fb944af6a3;-1;935a8f01-b666-4a24-83cb-2df1a0d9f049
26;tr;header_menu_fligt_hotel;Uçuş + Otel;2019-08-07 17:38:02.747;0;2021-01-04 16:09:51.980;403ac2df-eb85-4941-ab0f-29d80bad9b47;-1;935a8f01-b666-4a24-83cb-2df1a0d9f049
27;tr;header_menu_cars;Araç Kiralama;2019-08-07 17:38:02.747;0;2024-05-22 12:05:56.747;2e1bc782-b32d-422d-9fd0-aac01727b759;-1;-1
28;tr;search_one_Way;Tek Yön;2019-08-07 17:38:02.747;0;2024-05-22 12:05:56.783;8084fbf6-2b20-4aa4-bec4-8fe910f4da9a;-1;-1
29;tr;search_round_trip;Geliş-Dönüş;2019-08-07 17:38:02.747;0;NULL;6dfd8d31-8369-4581-8952-21f34c111e4f;-1;-1
